year,predicted_co2
2018,321273840.8129034
2019,323706878.29899216
2020,326139915.7850809
2021,328572953.27116966
2022,331005990.7572584
2023,333439028.24334717
2024,335872065.7294359
2025,338305103.2155247
2026,340738140.7016134
2027,343171178.1877022
